smell_name,count
Unutilized Abstraction,5875
Unnecessary Abstraction,5649
Deficient Encapsulation,760
Scattered Functionality,560
Broken Modularization,539
Broken Hierarchy,533
Insufficient Modularization,339
Cyclically-dependent Modularization,173
Cyclic Dependency,158
Feature Concentration,147
Unstable Dependency,105
God Component,100
Missing Hierarchy,90
Unexploited Encapsulation,88
Cyclic Hierarchy,71
Feature Envy,66
Deep Hierarchy,60
Wide Hierarchy,49
Hub-like Modularization,33
Rebellious Hierarchy,19
Multifaceted Abstraction,13
Multipath Hierarchy,12
Imperative Abstraction,8
Dense Structure,7
Ambiguous Interface,1
